ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022125	Cln5	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000024516	Sec11c	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000054408	Spcs3	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000019188	H13	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000021917	Spcs1	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000033918	Parl	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000048040	Arxes2	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000048355	Arxes1	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000056899	Immp2l	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000024713	Pcsk5	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000030530	Furin	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000025724	Sec11a	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000035227	Spcs2	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000042670	Immp1l	GO:0006465	signal peptide processing	signal_peptide_processing
ENSMUSG00000029550	Sppl3	GO:0006465	signal peptide processing	signal_peptide_processing
