ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021944	Gata4	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000021469	Msx2	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000026496	Parp1	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000024563	Smad2	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000025219	Fgf8	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000029231	Pdgfra	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000021095	Gsc	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000027765	P2ry1	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000038192	Cer1	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000030544	Mesp1	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000048450	Msx1	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000032402	Smad3	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000062327	T	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000025902	Sox17	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000053226	Dand5	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000019842	Traf3ip2	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000026637	Traf5	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000017950	Hnf4a	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000034701	Neurod1	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000018379	Srsf1	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000045394	Epcam	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000027168	Pax6	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000037025	Foxa2	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000030699	Tbx6	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000029337	Fgf5	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
ENSMUSG00000026942	Traf2	GO:0023019	signal transduction involved in regulation of gene expression	signal_transduction_involved_in_regulation_of_gene_expression
