ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000002489	Tiam1	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000052085	Dock8	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000031093	Dock11	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000031511	Arhgef7	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000039031	Arhgap18	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000024143	Rhoq	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000062232	Rapgef2	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000052681	Rap1b	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000022957	Itsn1	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000025531	Chm	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000026482	Rgl1	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000041444	Arhgap32	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000028121	Bcar3	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000076432	Ywhaq	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000046722	Cdc42se1	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000039716	Dock3	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000024781	Lipa	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000038608	Dock10	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000025558	Dock9	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000032740	Ccdc88a	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000032946	Rasgrp2	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000066513	Klk1b4	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000034801	Sos2	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000009621	Vav2	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000022075	Rhobtb2	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000038020	Rapgefl1	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000024998	Plce1	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
ENSMUSG00000021218	Gdi2	GO:0007264	small GTPase mediated signal transduction	small_GTPase_mediated_signal_transduction
