ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000033007	Asic4	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000028008	Asic5	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000049281	Scn3b	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000037578	Pkd2l1	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000023033	Scn8a	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000021730	Hcn1	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000032338	Hcn4	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000033998	Kcnk1	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000070304	Scn2b	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000046480	Scn4b	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000020704	Asic2	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000023017	Asic1	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000009292	Trpm2	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000038276	Asic3	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000028051	Hcn3	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000032511	Scn5a	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000034533	Scn10a	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000034115	Scn11a	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000019194	Scn1b	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000020331	Hcn2	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000000216	Scnn1g	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000030873	Scnn1b	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000030340	Scnn1a	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000001027	Scn4a	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000009246	Trpm5	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000057182	Scn3a	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000075318	Scn2a	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000064329	Scn1a	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000075316	Scn9a	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000034810	Scn7a	GO:0005272	sodium channel activity	sodium_channel_activity
ENSMUSG00000074796	Slc4a11	GO:0005272	sodium channel activity	sodium_channel_activity
