ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000024485	Slc4a9	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000023032	Slc4a8	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000031766	Slc12a3	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000024354	Slc23a1	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000037408	Cnnm4	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000021733	Slc4a7	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000060961	Slc4a4	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000068323	Slc4a5	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000000216	Scnn1g	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000030873	Scnn1b	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000030340	Scnn1a	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000030376	Slc8a2	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
ENSMUSG00000026904	Slc4a10	GO:0015081	sodium ion transmembrane transporter activity	sodium_ion_transmembrane_transporter_activity
