ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000002489	Tiam1	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000052727	Map1b	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000017831	Rab5a	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000056258	Kcnq3	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000021730	Hcn1	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000019146	Cacng2	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000030805	Stx4a	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000024261	Syt4	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000053062	Jam2	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000071424	Grid2	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000042757	Tmem108	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000018411	Mapt	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000020524	Gria1	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000020723	Cacng4	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000020331	Hcn2	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000068036	Afdn	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000032193	Ldlr	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000066189	Cacng3	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000027273	Snap25	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000029126	Nsg1	GO:0036477	somatodendritic compartment	somatodendritic_compartment
ENSMUSG00000026904	Slc4a10	GO:0036477	somatodendritic compartment	somatodendritic_compartment
