ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021242	Npc2	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000028603	Scp2	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000024091	Vapa	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000028559	Osbpl9	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000029822	Osbpl3	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000024687	Osbp	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000024413	Npc1	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000044252	Osbpl1a	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000020189	Osbpl8	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000032131	Abcg4	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000040505	Abcg5	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000024254	Abcg8	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000031574	Star	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000028158	Mttp	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000042359	Osbpl6	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000040875	Osbpl10	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000020435	Osbp2	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000017754	Pltp	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000037606	Osbpl5	GO:0015918	sterol transport	sterol_transport
ENSMUSG00000038534	Osbpl7	GO:0015918	sterol transport	sterol_transport
