ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022438	Parvb	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000022439	Parvg	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000029859	Epha1	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000026478	Lamc1	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000002602	Axl	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000027298	Tyro3	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000020019	Ntn4	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000071317	Bves	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000000127	Fer	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000030890	Ilk	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000074238	Ap1ar	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000074305	Peak1	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000049791	Fzd4	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000005958	Ephb3	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000031023	Akip1	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000031548	Sfrp1	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000024696	Lpxn	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000001281	Itgb7	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000026768	Itga8	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000041075	Fzd7	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000030770	Parva	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000027954	Efna1	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000024965	Fermt3	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000037712	Fermt2	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000026639	Lamb3	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000025810	Nrp1	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000002900	Lamb1	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000006386	Tek	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000041498	Kif14	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000027646	Src	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000020689	Itgb3	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000026193	Fn1	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000002413	Braf	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000029528	Pxn	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000026842	Abl1	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000026840	Lamc3	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000027009	Itga4	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000027087	Itgav	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000007815	Rhoa	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000052911	Lamb2	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000033420	Antxr1	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000020149	Rab1a	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000028955	Vamp3	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
ENSMUSG00000029576	Radil	GO:0034446	substrate adhesion-dependent cell spreading	substrate_adhesion-dependent_cell_spreading
