ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022982	Sod1	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000021367	Edn1	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000026480	Ncf2	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000031257	Nox1	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000030562	Nox4	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000023802	Nox3	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000040711	Sh3pxd2b	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000046500	Tafa4	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000006818	Sod2	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000071715	Ncf4	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000053617	Sh3pxd2a	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000015340	Cybb	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000068452	Duox2	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000033268	Duox1	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000001348	Acp5	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000006519	Cyba	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000019320	Noxo1	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000036805	Noxa1	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000015950	Ncf1	GO:0042554	superoxide anion generation	superoxide_anion_generation
ENSMUSG00000027072	Prg3	GO:0042554	superoxide anion generation	superoxide_anion_generation
