ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022982	Sod1	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000024935	Slc1a1	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000026480	Ncf2	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000003849	Nqo1	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000030562	Nox4	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000032872	Cyb5r4	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000040711	Sh3pxd2b	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000056899	Immp2l	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000006818	Sod2	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000001751	Naglu	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000053617	Sh3pxd2a	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000052384	Nrros	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000020826	Nos2	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000034108	Ccs	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000015340	Cybb	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000024039	Cbs	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000006519	Cyba	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000019320	Noxo1	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000072941	Sod3	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
ENSMUSG00000036805	Noxa1	GO:0006801	superoxide metabolic process	superoxide_metabolic_process
