ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031616	Ednra	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000022144	Gdnf	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000020052	Ascl1	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000063632	Sox11	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000076431	Sox4	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000062312	Erbb2	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000038193	Hand2	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000025927	Tfap2b	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000022510	Trp63	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000024366	Gfra3	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000025810	Nrp1	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000029765	Plxna4	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000028072	Ntrk1	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000012520	Phox2b	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000020716	Nf1	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000007946	Phox2a	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
ENSMUSG00000015619	Gata3	GO:0048485	sympathetic nervous system development	sympathetic_nervous_system_development
