ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000031340	Gabre	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000031343	Gabra3	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000031344	Gabrq	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000052026	Slc6a7	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000056201	Cfl1	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000032269	Htr3a	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000028020	Glrb	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000003153	Slc2a3	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000051615	Rap2a	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000032060	Cryab	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000039419	Cntnap2	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000037966	Ninj1	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000030525	Chrna7	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000040407	Akap9	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000031253	Srpx2	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000001260	Gabrg1	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000000560	Gabra2	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000029211	Gabra4	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000029212	Gabrb1	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000074991	Gabrr3	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000038257	Glra3	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000008932	Slc1a7	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000010609	Psen2	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000035594	Chrna5	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000032303	Chrna3	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000035200	Chrnb4	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000015750	Aph1a	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000059040	Eno1b	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000026833	Olfm1	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000063524	Eno1	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000048120	Entpd1	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000064210	Ano6	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000037852	Cpe	GO:0097060	synaptic membrane	synaptic_membrane
ENSMUSG00000031918	Mtmr2	GO:0097060	synaptic membrane	synaptic_membrane
