ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022789	Dnm1l	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000052026	Slc6a7	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000057531	Dtnbp1	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000036438	Calm2	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000059602	Syn3	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000003153	Slc2a3	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000027712	Anxa5	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000017831	Rab5a	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000024121	Atp6v0c	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000037685	Atp8a1	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000049624	Slc17a5	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000025094	Slc18a2	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000031447	Lamp1	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000000560	Gabra2	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000019935	Slc17a8	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000009894	Snap47	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000026470	Stx6	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000026150	Mff	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000079657	Rab26	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000015476	Prrt1	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
ENSMUSG00000041268	Dmxl2	GO:0030672	synaptic vesicle membrane	synaptic_vesicle_membrane
