ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000058550	Dppa4	GO:0048731	system development	system_development
ENSMUSG00000072419	Dppa2	GO:0048731	system development	system_development
ENSMUSG00000022144	Gdnf	GO:0048731	system development	system_development
ENSMUSG00000021253	Tgfb3	GO:0048731	system development	system_development
ENSMUSG00000062713	Sim2	GO:0048731	system development	system_development
ENSMUSG00000022382	Wnt7b	GO:0048731	system development	system_development
ENSMUSG00000002603	Tgfb1	GO:0048731	system development	system_development
ENSMUSG00000096225	Lhx8	GO:0048731	system development	system_development
ENSMUSG00000021451	Sema4d	GO:0048731	system development	system_development
ENSMUSG00000002664	Pspn	GO:0048731	system development	system_development
ENSMUSG00000026468	Lhx4	GO:0048731	system development	system_development
ENSMUSG00000030093	Wnt7a	GO:0048731	system development	system_development
ENSMUSG00000032318	Isl2	GO:0048731	system development	system_development
ENSMUSG00000019913	Sim1	GO:0048731	system development	system_development
ENSMUSG00000057969	Sema3b	GO:0048731	system development	system_development
ENSMUSG00000034684	Sema3f	GO:0048731	system development	system_development
ENSMUSG00000006958	Chrd	GO:0048731	system development	system_development
ENSMUSG00000028163	Nfkb1	GO:0048731	system development	system_development
ENSMUSG00000025225	Nfkb2	GO:0048731	system development	system_development
ENSMUSG00000042258	Isl1	GO:0048731	system development	system_development
ENSMUSG00000039239	Tgfb2	GO:0048731	system development	system_development
ENSMUSG00000063531	Sema3e	GO:0048731	system development	system_development
ENSMUSG00000028780	Sema3c	GO:0048731	system development	system_development
ENSMUSG00000025207	Sema4g	GO:0048731	system development	system_development
ENSMUSG00000026121	Sema4c	GO:0048731	system development	system_development
ENSMUSG00000026686	Lmx1a	GO:0048731	system development	system_development
ENSMUSG00000023000	Dhh	GO:0048731	system development	system_development
ENSMUSG00000062209	Erbb4	GO:0048731	system development	system_development
ENSMUSG00000019230	Lhx9	GO:0048731	system development	system_development
ENSMUSG00000018698	Lhx1	GO:0048731	system development	system_development
ENSMUSG00000006538	Ihh	GO:0048731	system development	system_development
ENSMUSG00000002633	Shh	GO:0048731	system development	system_development
ENSMUSG00000029595	Lhx5	GO:0048731	system development	system_development
ENSMUSG00000039481	Nrtn	GO:0048731	system development	system_development
ENSMUSG00000020122	Egfr	GO:0048731	system development	system_development
ENSMUSG00000038765	Lmx1b	GO:0048731	system development	system_development
ENSMUSG00000028883	Sema3a	GO:0048731	system development	system_development
ENSMUSG00000028539	Artn	GO:0048731	system development	system_development
ENSMUSG00000026890	Lhx6	GO:0048731	system development	system_development
ENSMUSG00000000247	Lhx2	GO:0048731	system development	system_development
ENSMUSG00000026934	Lhx3	GO:0048731	system development	system_development
