ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000037085	Trmt12	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000047583	Tyw3	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000067369	Trmt2b	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000006732	Mettl1	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000034442	Trmt5	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000037525	Bcdin3d	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000031171	Ftsj1	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000021891	Mettl6	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000029097	Trmt44	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000028706	Nsun4	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000090290	Tarbp1	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000026723	Trdmt1	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000024246	Thumpd2	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000022721	Trmt2a	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000024251	Thada	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000038812	Trmt112	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000021595	Nsun2	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000026707	Nsun6	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000039620	Trmt9b	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000030264	Thumpd3	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000007610	Gtpbp3	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000060950	Trmt61a	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000024037	Wdr4	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000020691	Mettl2	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000004127	Trmt10a	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000001909	Trmt1	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000033439	Trmt13	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000053286	Trmt1l	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000025899	Alkbh8	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000035601	Trmt10b	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000028331	Trmo	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000066357	Wdr6	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000037376	Trmt6	GO:0030488	tRNA methylation	tRNA_methylation
ENSMUSG00000074890	Lcmt2	GO:0030488	tRNA methylation	tRNA_methylation
