ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000030352	Tspan9	GO:0097197	tetraspanin-enriched microdomain	tetraspanin-enriched_microdomain
ENSMUSG00000037031	Tspan15	GO:0097197	tetraspanin-enriched microdomain	tetraspanin-enriched_microdomain
ENSMUSG00000037824	Tspan14	GO:0097197	tetraspanin-enriched microdomain	tetraspanin-enriched_microdomain
ENSMUSG00000078810	Gp6	GO:0097197	tetraspanin-enriched microdomain	tetraspanin-enriched_microdomain
ENSMUSG00000001763	Tspan33	GO:0097197	tetraspanin-enriched microdomain	tetraspanin-enriched_microdomain
ENSMUSG00000027639	Samhd1	GO:0097197	tetraspanin-enriched microdomain	tetraspanin-enriched_microdomain
ENSMUSG00000028583	Pdpn	GO:0097197	tetraspanin-enriched microdomain	tetraspanin-enriched_microdomain
ENSMUSG00000054693	Adam10	GO:0097197	tetraspanin-enriched microdomain	tetraspanin-enriched_microdomain
ENSMUSG00000057135	Scimp	GO:0097197	tetraspanin-enriched microdomain	tetraspanin-enriched_microdomain
ENSMUSG00000037706	Cd81	GO:0097197	tetraspanin-enriched microdomain	tetraspanin-enriched_microdomain
