ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000001497	Pax9	GO:0009888	tissue development	tissue_development
ENSMUSG00000021944	Gata4	GO:0009888	tissue development	tissue_development
ENSMUSG00000004872	Pax3	GO:0009888	tissue development	tissue_development
ENSMUSG00000022382	Wnt7b	GO:0009888	tissue development	tissue_development
ENSMUSG00000030093	Wnt7a	GO:0009888	tissue development	tissue_development
ENSMUSG00000055799	Tcf7l1	GO:0009888	tissue development	tissue_development
ENSMUSG00000024098	Twsg1	GO:0009888	tissue development	tissue_development
ENSMUSG00000032796	Lama1	GO:0009888	tissue development	tissue_development
ENSMUSG00000036158	Prickle1	GO:0009888	tissue development	tissue_development
ENSMUSG00000027985	Lef1	GO:0009888	tissue development	tissue_development
ENSMUSG00000027750	Postn	GO:0009888	tissue development	tissue_development
ENSMUSG00000004231	Pax2	GO:0009888	tissue development	tissue_development
ENSMUSG00000039239	Tgfb2	GO:0009888	tissue development	tissue_development
ENSMUSG00000024985	Tcf7l2	GO:0009888	tissue development	tissue_development
ENSMUSG00000025579	Gaa	GO:0009888	tissue development	tissue_development
ENSMUSG00000021381	Barx1	GO:0009888	tissue development	tissue_development
ENSMUSG00000029706	Pax4	GO:0009888	tissue development	tissue_development
ENSMUSG00000000782	Tcf7	GO:0009888	tissue development	tissue_development
ENSMUSG00000026735	Ptf1a	GO:0009888	tissue development	tissue_development
ENSMUSG00000025153	Fasn	GO:0009888	tissue development	tissue_development
ENSMUSG00000028736	Pax7	GO:0009888	tissue development	tissue_development
ENSMUSG00000026398	Nr5a2	GO:0009888	tissue development	tissue_development
ENSMUSG00000035478	Mbd3	GO:0009888	tissue development	tissue_development
ENSMUSG00000014030	Pax5	GO:0009888	tissue development	tissue_development
ENSMUSG00000027168	Pax6	GO:0009888	tissue development	tissue_development
ENSMUSG00000027547	Sall4	GO:0009888	tissue development	tissue_development
ENSMUSG00000034926	Dhcr24	GO:0009888	tissue development	tissue_development
ENSMUSG00000003436	Dll3	GO:0009888	tissue development	tissue_development
ENSMUSG00000037034	Pax1	GO:0009888	tissue development	tissue_development
ENSMUSG00000026751	Nr5a1	GO:0009888	tissue development	tissue_development
ENSMUSG00000015627	Gata5	GO:0009888	tissue development	tissue_development
ENSMUSG00000026976	Pax8	GO:0009888	tissue development	tissue_development
