ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000033871	Ppargc1b	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000038518	Jarid2	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000024134	Six2	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000027804	Ppid	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000012396	Nanog	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000035451	Foxa1	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000021285	Ppp1r13b	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000037621	Atoh8	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000044167	Foxo1	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000040891	Foxa3	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000055491	Pprc1	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000025056	Nr0b1	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000025231	Sufu	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000019768	Esr1	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000040734	Ppp1r13l	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000026605	Cenpf	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000000787	Ddx3x	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000026021	Sumo1	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000054717	Hmgb2	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000015839	Nfe2l2	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000008136	Fhl2	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000029167	Ppargc1a	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000048826	Dact2	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000034957	Cebpa	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000040463	Mybbp1a	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000027547	Sall4	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000020455	Trim11	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000027210	Meis2	GO:0008134	transcription factor binding	transcription_factor_binding
ENSMUSG00000037025	Foxa2	GO:0008134	transcription factor binding	transcription_factor_binding
