ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000033216	Eefsec	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000037742	Eef1a1	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000038563	Efl1	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000073838	Tufm	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000040521	Tsfm	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000054034	Tceal5	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000016349	Eef1a2	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000055762	Eef1d	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000023952	Gtpbp2	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000027774	Gfm1	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000031409	Tceal6	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000042535	Gtpbp1	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000071644	Eef1g	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000050192	Eif5a2	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000059540	Tcea2	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000078812	Eif5a	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000034994	Eef2	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000025967	Eef1b2	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
ENSMUSG00000019977	Hbs1l	GO:0003746	translation elongation factor activity	translation_elongation_factor_activity
