ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000063529	Stmnd1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000022442	Ttll1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000016757	Ttll12	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000012609	Ttll5	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000021573	Tppp	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000025916	Ppp1r42	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000029469	Ift81	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000015711	Prune1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000022044	Stmn4	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000022897	Dyrk1a	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000074673	Ttll9	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000039298	Cdk5rap2	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000067878	Map7d3	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000038539	Atf5	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000055691	Gja6	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000071322	Tcp10a	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000079722	Ttll2	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000031197	Vbp1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000050953	Gja1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000027500	Stmn2	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000061298	Agbl4	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000025754	Agbl1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000049550	Clip1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000023826	Prkn	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000008813	Tppp2	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000039952	Dag1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000040811	Eml2	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000055602	Tcp10b	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000017716	Birc5	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000014226	Cacybp	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000058070	Eml1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000042043	Tbca	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000059921	Unc5c	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000027581	Stmn3	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000027254	Map1a	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000028832	Stmn1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000036273	Lrrk2	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000045467	Ttll13	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000025626	Phf6	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000021557	Agtpbp1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000015721	Nlrp5	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000036430	Tbcc	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000014846	Tppp3	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000034292	Traf3ip1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000032479	Map4	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000019261	Map1s	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000064128	Cenpj	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000015222	Map2	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000030744	Rps3	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000051359	Ncald	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000031812	Map1lc3b	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000041498	Kif14	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000018411	Mapt	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000028524	Sgip1	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000006005	Tpr	GO:0015631	tubulin binding	tubulin_binding
ENSMUSG00000019843	Fyn	GO:0015631	tubulin binding	tubulin_binding
