ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000068105	Tnfrsf13c	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000021025	Nfkbia	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000024927	Rela	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000024789	Jak2	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000059456	Ptk2b	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000024778	Fas	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000019489	Cd70	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000048756	Foxo3	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000026104	Stat1	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000031537	Ikbkb	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000030890	Ilk	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000004071	Cdip1	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000022496	Tnfrsf17	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000022015	Tnfsf11	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000049382	Krt8	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000023043	Krt18	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000054808	Actn4	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000030793	Pycard	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000034457	Eda2r	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000066755	Tnfsf18	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000070934	Rraga	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000031887	Tradd	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000034845	Plvap	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000021277	Traf3	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000026321	Tnfrsf11a	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000028599	Tnfrsf1b	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000033740	St18	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000031497	Tnfsf13b	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000037860	Aim2	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000030963	Umod	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000019842	Traf3ip2	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000026637	Traf5	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
ENSMUSG00000024401	Tnf	GO:0033209	tumor necrosis factor-mediated signaling pathway	tumor_necrosis_factor-mediated_signaling_pathway
