ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000032656	Marchf3	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000033107	Rnf125	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000056537	Rlim	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000042350	Arel1	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000037075	Rnf139	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000022124	Fbxl3	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000044164	Rnf182	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000059586	Nsmce2	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000020184	Mdm2	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000022120	Obi1	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000038175	Mylip	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000005371	Fbxo11	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000038876	Rnf146	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000035235	Trim13	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000064061	Dzip3	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000038068	Rnf144b	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000063760	Rnf217	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000025860	Xiap	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000022637	Cblb	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
ENSMUSG00000020064	Herc4	GO:0004842	ubiquitin-protein transferase activity	ubiquitin-protein_transferase_activity
