ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022365	Derl1	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000053119	Chmp3	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000039100	Marchf6	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000075701	Selenos	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000025019	Lcor	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000023826	Prkn	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000031751	Amfr	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000032105	Nherf4	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000026021	Sumo1	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000024807	Syvn1	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000013663	Pten	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000009092	Derl3	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000003813	Rad23a	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000047126	Cltc	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000024392	Bag6	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000018442	Derl2	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000028452	Vcp	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000028964	Park7	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000018974	Sart3	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
ENSMUSG00000047030	Spata2	GO:1990381	ubiquitin-specific protease binding	ubiquitin-specific_protease_binding
