ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000033107	Rnf125	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000024317	Rnf138	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000056537	Rlim	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000042350	Arel1	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000031651	Triml1	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000091490	Triml2	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000034317	Trim59	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000037075	Rnf139	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000033004	Mycbp2	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000036537	Rnf113a1	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000064140	Trim38	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000020184	Mdm2	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000038175	Mylip	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000047747	Rnf150	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000038876	Rnf146	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000035235	Trim13	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000022113	Trim52	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000064061	Dzip3	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000037124	Trim58	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000038068	Rnf144b	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000063760	Rnf217	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000025860	Xiap	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000055401	Fbxo6	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000022637	Cblb	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000034168	Irf2bpl	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000041556	Fbxo2	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000020064	Herc4	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000024589	Nedd4l	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000025261	Huwe1	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000031930	Wwp2	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000048185	Rnf7l	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000031446	Cul4a	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000002222	Rmnd5a	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000024817	Uhrf2	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000004364	Cul3	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000094311	Rfpl4b	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000018160	Med1	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000001228	Uhrf1	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000029686	Cul1	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000027993	Trim2	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000004018	Fancl	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000079562	Maea	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000041180	Hectd2	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000015478	Rnf5	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000028086	Fbxw7	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000021712	Trim23	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000017210	Med24	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000060450	Rnf14	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000028960	Ube4b	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000057719	Sh3rf2	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
ENSMUSG00000038780	Smurf1	GO:0061630	ubiquitin protein ligase activity	ubiquitin_protein_ligase_activity
