ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000004791	Pgf	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000031714	Gab1	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000031520	Vegfc	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000031380	Vegfd	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000062960	Kdr	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000029648	Flt1	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000020357	Flt4	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000023951	Vegfa	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000024962	Vegfb	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000025810	Nrp1	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000025969	Nrp2	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000050295	Foxc1	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000027665	Pik3ca	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
ENSMUSG00000023068	Nus1	GO:0038084	vascular endothelial growth factor signaling pathway	vascular_endothelial_growth_factor_signaling_pathway
