ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000019789	Hey2	GO:0055015	ventricular cardiac muscle cell development	ventricular_cardiac_muscle_cell_development
ENSMUSG00000044186	Nkx2-6	GO:0055015	ventricular cardiac muscle cell development	ventricular_cardiac_muscle_cell_development
ENSMUSG00000038160	Atg5	GO:0055015	ventricular cardiac muscle cell development	ventricular_cardiac_muscle_cell_development
ENSMUSG00000028023	Pitx2	GO:0055015	ventricular cardiac muscle cell development	ventricular_cardiac_muscle_cell_development
ENSMUSG00000028063	Lmna	GO:0055015	ventricular cardiac muscle cell development	ventricular_cardiac_muscle_cell_development
ENSMUSG00000015579	Nkx2-5	GO:0055015	ventricular cardiac muscle cell development	ventricular_cardiac_muscle_cell_development
ENSMUSG00000020900	Myh10	GO:0055015	ventricular cardiac muscle cell development	ventricular_cardiac_muscle_cell_development
ENSMUSG00000030046	Bmp10	GO:0055015	ventricular cardiac muscle cell development	ventricular_cardiac_muscle_cell_development
ENSMUSG00000008136	Fhl2	GO:0055015	ventricular cardiac muscle cell development	ventricular_cardiac_muscle_cell_development
ENSMUSG00000019942	Cdk1	GO:0055015	ventricular cardiac muscle cell development	ventricular_cardiac_muscle_cell_development
