ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000039735	Fnbp1l	GO:0016050	vesicle organization	vesicle_organization
ENSMUSG00000054423	Cadps	GO:0016050	vesicle organization	vesicle_organization
ENSMUSG00000000058	Cav2	GO:0016050	vesicle organization	vesicle_organization
ENSMUSG00000038301	Snx10	GO:0016050	vesicle organization	vesicle_organization
ENSMUSG00000019773	Fbxo5	GO:0016050	vesicle organization	vesicle_organization
ENSMUSG00000061665	Cd2ap	GO:0016050	vesicle organization	vesicle_organization
ENSMUSG00000026024	Als2	GO:0016050	vesicle organization	vesicle_organization
ENSMUSG00000029684	Wasl	GO:0016050	vesicle organization	vesicle_organization
ENSMUSG00000068747	Sort1	GO:0016050	vesicle organization	vesicle_organization
ENSMUSG00000020876	Snx11	GO:0016050	vesicle organization	vesicle_organization
ENSMUSG00000074170	Plekhf1	GO:0016050	vesicle organization	vesicle_organization
ENSMUSG00000020386	Sar1b	GO:0016050	vesicle organization	vesicle_organization
