ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000022656	Nectin3	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000021939	Ctsb	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000074272	Ceacam1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000031451	Gas6	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000002602	Axl	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000049115	Agtr1a	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000026469	Xpr1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000037049	Smpd1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000047293	Gpr15	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000027298	Tyro3	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000010047	Hyal2	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000037656	Slc20a2	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000028552	Eps15	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000026399	Cd55	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000032369	Plscr1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000024413	Npc1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000015405	Ace2	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000005534	Insr	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000032372	Plscr2	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000032012	Nectin1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000039952	Dag1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000022512	Cldn1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000065987	Cd209b	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000040165	Cd209c	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000041313	Slc7a1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000078924	Gm12169	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000046974	BC053393	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000064010	Dppa1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000026432	Avpr1b	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000042333	Tnfrsf14	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000054988	Agtr1b	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000024858	Grk2	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000040511	Pvr	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000064326	Siva1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000025810	Nrp1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000010095	Slc3a2	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000061259	Tmprss11d	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000072845	Tmprss11a	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000027667	Zfp639	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000054537	Tmprss11e	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000035354	Uvrag	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000074491	Clec4g	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000031494	Cd209a	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000040197	Cd209e	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000031495	Cd209d	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000044594	Serpinb3a	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000058017	Serpinb3d	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000020689	Itgb3	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000073602	Serpinb3b	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000073601	Serpinb3c	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000023906	Cldn6	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000066720	Cldn9	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000029915	Clec5a	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000006411	Nectin4	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000050732	Vamp8	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000023175	Bsg	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000032178	Ilf3	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000027087	Itgav	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000038845	Phb	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000047798	Cd300lf	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000034641	Cd300ld	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000027315	Spint1	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000034216	Vps18	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000035000	Dpp4	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000037706	Cd81	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
ENSMUSG00000037727	Avp	GO:0046718	viral entry into host cell	viral_entry_into_host_cell
