ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000043079	Synpo	GO:0008542	visual learning	visual_learning
ENSMUSG00000022705	Drd3	GO:0008542	visual learning	visual_learning
ENSMUSG00000022489	Pde1b	GO:0008542	visual learning	visual_learning
ENSMUSG00000046876	Atxn1	GO:0008542	visual learning	visual_learning
ENSMUSG00000035910	Dcdc2a	GO:0008542	visual learning	visual_learning
ENSMUSG00000028991	Mtor	GO:0008542	visual learning	visual_learning
ENSMUSG00000022039	Adam2	GO:0008542	visual learning	visual_learning
ENSMUSG00000061718	Ppp1r1b	GO:0008542	visual learning	visual_learning
ENSMUSG00000000889	Dbh	GO:0008542	visual learning	visual_learning
ENSMUSG00000044071	Tafa2	GO:0008542	visual learning	visual_learning
ENSMUSG00000021478	Drd1	GO:0008542	visual learning	visual_learning
ENSMUSG00000034987	Hrh2	GO:0008542	visual learning	visual_learning
ENSMUSG00000031393	Mecp2	GO:0008542	visual learning	visual_learning
ENSMUSG00000030265	Kras	GO:0008542	visual learning	visual_learning
ENSMUSG00000027737	Slc7a11	GO:0008542	visual learning	visual_learning
ENSMUSG00000052087	Rgs14	GO:0008542	visual learning	visual_learning
ENSMUSG00000006958	Chrd	GO:0008542	visual learning	visual_learning
ENSMUSG00000019890	Nts	GO:0008542	visual learning	visual_learning
ENSMUSG00000050321	Neto1	GO:0008542	visual learning	visual_learning
ENSMUSG00000031367	Ap1s2	GO:0008542	visual learning	visual_learning
ENSMUSG00000005672	Kit	GO:0008542	visual learning	visual_learning
ENSMUSG00000032336	Nptn	GO:0008542	visual learning	visual_learning
ENSMUSG00000021684	Pde8b	GO:0008542	visual learning	visual_learning
ENSMUSG00000067629	Syngap1	GO:0008542	visual learning	visual_learning
ENSMUSG00000036564	Ndrg4	GO:0008542	visual learning	visual_learning
ENSMUSG00000019970	Sgk1	GO:0008542	visual learning	visual_learning
ENSMUSG00000059003	Grin2a	GO:0008542	visual learning	visual_learning
ENSMUSG00000039438	Ttc36	GO:0008542	visual learning	visual_learning
ENSMUSG00000002028	Kmt2a	GO:0008542	visual learning	visual_learning
ENSMUSG00000022892	App	GO:0008542	visual learning	visual_learning
ENSMUSG00000001105	Ift20	GO:0008542	visual learning	visual_learning
ENSMUSG00000032405	Pias1	GO:0008542	visual learning	visual_learning
ENSMUSG00000021670	Hmgcr	GO:0008542	visual learning	visual_learning
ENSMUSG00000025958	Creb1	GO:0008542	visual learning	visual_learning
ENSMUSG00000021109	Hif1a	GO:0008542	visual learning	visual_learning
ENSMUSG00000031302	Nlgn3	GO:0008542	visual learning	visual_learning
ENSMUSG00000053004	Hrh1	GO:0008542	visual learning	visual_learning
ENSMUSG00000061313	Ddhd2	GO:0008542	visual learning	visual_learning
ENSMUSG00000072235	Tuba1a	GO:0008542	visual learning	visual_learning
ENSMUSG00000018634	Crhr1	GO:0008542	visual learning	visual_learning
ENSMUSG00000045994	B3gat1	GO:0008542	visual learning	visual_learning
ENSMUSG00000040907	Atp1a3	GO:0008542	visual learning	visual_learning
ENSMUSG00000028969	Cdk5	GO:0008542	visual learning	visual_learning
ENSMUSG00000040136	Abcc8	GO:0008542	visual learning	visual_learning
ENSMUSG00000027950	Chrnb2	GO:0008542	visual learning	visual_learning
ENSMUSG00000002413	Braf	GO:0008542	visual learning	visual_learning
ENSMUSG00000051331	Cacna1c	GO:0008542	visual learning	visual_learning
ENSMUSG00000025809	Itgb1	GO:0008542	visual learning	visual_learning
ENSMUSG00000007097	Atp1a2	GO:0008542	visual learning	visual_learning
ENSMUSG00000059246	Foxb1	GO:0008542	visual learning	visual_learning
ENSMUSG00000073804	Nps	GO:0008542	visual learning	visual_learning
ENSMUSG00000032532	Cck	GO:0008542	visual learning	visual_learning
ENSMUSG00000061311	Rag1	GO:0008542	visual learning	visual_learning
ENSMUSG00000035722	Abca7	GO:0008542	visual learning	visual_learning
ENSMUSG00000064177	Ghrl	GO:0008542	visual learning	visual_learning
ENSMUSG00000048616	Nog	GO:0008542	visual learning	visual_learning
ENSMUSG00000055670	Zzef1	GO:0008542	visual learning	visual_learning
ENSMUSG00000038580	Sct	GO:0008542	visual learning	visual_learning
ENSMUSG00000058886	Deaf1	GO:0008542	visual learning	visual_learning
ENSMUSG00000026959	Grin1	GO:0008542	visual learning	visual_learning
ENSMUSG00000032259	Drd2	GO:0008542	visual learning	visual_learning
ENSMUSG00000005949	Ctns	GO:0008542	visual learning	visual_learning
ENSMUSG00000028541	B4galt2	GO:0008542	visual learning	visual_learning
ENSMUSG00000043110	Lrrn4	GO:0008542	visual learning	visual_learning
ENSMUSG00000027210	Meis2	GO:0008542	visual learning	visual_learning
ENSMUSG00000020716	Nf1	GO:0008542	visual learning	visual_learning
ENSMUSG00000039358	Drd5	GO:0008542	visual learning	visual_learning
ENSMUSG00000025485	Ric8a	GO:0008542	visual learning	visual_learning
ENSMUSG00000035168	Tanc1	GO:0008542	visual learning	visual_learning
