ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000030247	Kcnj8	GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	voltage-gated_potassium_channel_activity_involved_in_ventricular_cardiac_muscle_cell_action_potential_repolarization
ENSMUSG00000047330	Kcne4	GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	voltage-gated_potassium_channel_activity_involved_in_ventricular_cardiac_muscle_cell_action_potential_repolarization
ENSMUSG00000040896	Kcnd3	GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	voltage-gated_potassium_channel_activity_involved_in_ventricular_cardiac_muscle_cell_action_potential_repolarization
ENSMUSG00000039639	Kcne1	GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	voltage-gated_potassium_channel_activity_involved_in_ventricular_cardiac_muscle_cell_action_potential_repolarization
ENSMUSG00000070304	Scn2b	GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	voltage-gated_potassium_channel_activity_involved_in_ventricular_cardiac_muscle_cell_action_potential_repolarization
ENSMUSG00000039672	Kcne2	GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	voltage-gated_potassium_channel_activity_involved_in_ventricular_cardiac_muscle_cell_action_potential_repolarization
ENSMUSG00000090122	Kcne1l	GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	voltage-gated_potassium_channel_activity_involved_in_ventricular_cardiac_muscle_cell_action_potential_repolarization
ENSMUSG00000038319	Kcnh2	GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	voltage-gated_potassium_channel_activity_involved_in_ventricular_cardiac_muscle_cell_action_potential_repolarization
ENSMUSG00000035165	Kcne3	GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	voltage-gated_potassium_channel_activity_involved_in_ventricular_cardiac_muscle_cell_action_potential_repolarization
ENSMUSG00000009545	Kcnq1	GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	voltage-gated_potassium_channel_activity_involved_in_ventricular_cardiac_muscle_cell_action_potential_repolarization
