ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000049281	Scn3b	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000023033	Scn8a	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000022416	Cacna1i	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000070304	Scn2b	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000046480	Scn4b	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000032511	Scn5a	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000034533	Scn10a	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000034115	Scn11a	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000019194	Scn1b	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000001027	Scn4a	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000020866	Cacna1g	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000057182	Scn3a	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000075318	Scn2a	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000064329	Scn1a	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000075316	Scn9a	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
ENSMUSG00000034810	Scn7a	GO:0001518	voltage-gated sodium channel complex	voltage-gated_sodium_channel_complex
