ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000054414	Slc30a7	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000021629	Slc30a5	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000025986	Slc39a10	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000022094	Slc39a14	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000002105	Slc39a13	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000022315	Slc30a8	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000072572	Slc39a2	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000024069	Slc30a6	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000026614	Slc30a10	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000039878	Slc39a5	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000048833	Slc39a9	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000028836	Slc30a2	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000024270	Slc39a6	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000037434	Slc30a1	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000063354	Slc39a4	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000024327	Slc39a7	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000052310	Slc39a1	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000046822	Slc39a3	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000041654	Slc39a11	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000029151	Slc30a3	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000029221	Slc30a9	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000005802	Slc30a4	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
ENSMUSG00000036949	Slc39a12	GO:0005385	zinc ion transmembrane transporter activity	zinc_ion_transmembrane_transporter_activity
