ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000064357	mt-Atp6	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000064370	mt-Cytb	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000019777	Hdac2	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000031536	Polb	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000045534	Kcna5	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000031740	Mmp2	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000006818	Sod2	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000075704	Txnrd2	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000023067	Cdkn1a	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000040010	Slc7a5	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000021789	Sftpa1	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000028583	Pdpn	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000049103	Ccr2	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000032315	Cyp1a1	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000001506	Col1a1	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000078566	Bnip3	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000029711	Epo	GO:0055093	response to hyperoxia	response_to_hyperoxia
ENSMUSG00000027187	Cat	GO:0055093	response to hyperoxia	response_to_hyperoxia
