ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021363	Mak	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000007817	Zmiz1	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000022455	Wbp2nl	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000024921	Smarca2	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000041852	Tcf20	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000064140	Trim38	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000024926	Kat5	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000035235	Trim13	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000001496	Nkx2-1	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000022113	Trim52	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000020074	Ccar1	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000055839	Elob	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000022948	Setd4	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000078941	Ak6	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000052293	Taf9	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000038025	Phf2	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000030079	Ruvbl1	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000000708	Kat2b	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000061887	Ssbp3	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000006050	Sra1	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000020063	Sirt1	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000025917	Cops5	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000075000	Nrbf2	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
ENSMUSG00000042699	Dhx9	GO:0003713	transcription coactivator activity	transcription_coactivator_activity
