ensembl_gene_id	external_gene_name	go_id	name_1006	name_1006_udb
ENSMUSG00000021360	Gcnt2	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000037526	Atg14	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000027680	Fxr1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000072437	Nanos1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000028580	Pum1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000065538	Mir153	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000026383	Epb41l5	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000007655	Cav1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000023025	Larp4	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000065609	Mir7-2	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000037965	Zc3h7a	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000031754	Nudt21	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000040423	Rc3h1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000039810	Zc3h10	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000106348	Mir1a-2	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000065434	Mir7-1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000037236	Matr3	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000022390	Zc3h7b	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000022906	Parp9	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000022184	Fbxo4	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000019471	Cdc37	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000020594	Pum2	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000069844	Sco1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000035851	Ythdc1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000039329	Tex19.1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000079259	Trim71	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000037331	Larp1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000035517	Tdrd7	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000010554	Mettl16	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000057113	Npm1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000065446	Mir139	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000020681	Ace	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000075376	Rc3h2	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000020893	Per1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000070144	Mir1a-1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
ENSMUSG00000039660	Spout1	GO:0010608	post-transcriptional regulation of gene expression	post-transcriptional_regulation_of_gene_expression
